term,average_offensiveness
sandnigger,
Bengali,43
rapefugees,
Girl,50
whitie,
fish wagon,50
skank,50
gun burglar,89
gun burglars,
kanaka,91
cracker,46
ABCs,31
ABC,28
rube,53
whoriental,
whorientals,
hoosier,88
hooknoses,
hooknosed,
hooknose,
dagowops,100
dagowop,100
chimp-outs,
bean bandit,75
bean bandits,75
lipstick lesbians,
libtard,45
jihadi-americans,
jihadi-american,
gyppoes,
gypoes,
gooky eyes,
gooklets,96
gooklet,75
gookettes,
gookette,100
gook eyed,
ghetto monkeys,
ghetto monkey,
filthypinos,
filthypinoes,50
filthypino,100
deminigger,100
deminiggers,
seminigger,
seminiggers,
canniglets,44
canigglet,44
caniggers,
canigger,100
cairo coons,
cairo coon,
bushniglets,
bushniglet,
bushniggers,68
bushnigger,84
bush bandits,
bush bandit,88
border bandits,
border banditos,
border bandit,
border banditoes,
african't,75
african'ts,75
WASPy,38
Uncle Tom,80
jewtarded,98
jigaboo,99
jewtard,99
cunt,90
twat,41
spicks,75
mud ducks,
mangia cakes,
lawn jockeys,
limey,40
limeys,
honky,57
honkey,50
hebes,
hillbillies,
hayseed,74
half breeds,
greaseball,74
gypped,50
gyp,70
dot heads,84
whores,
whore,80
mammy,90
muslamic,66
gypsy,75
gypsies,
gyps,50
yokels,50
yokel,65
yellow bone,56
red bone,63
white trash,50
trailer trash,87
trailer park trash,79
shyster,84
shysters,
sheister,89
sheisters,
peckerwood,81
sheepfucker,87
niggah,100
nigga,87
niggahs,100
niggas,
newfies,50
newfie,54
hosers,13
hillbilly,72
eurotrash,93
dyke,85
slut,79
sluts,100
spinks,88
mooks,50
mook,68
krauts,50
jiggs,
jigg,97
jiggers,100
jigger,99
jiggas,
jigga,97
hebe,91
half breed,98
eshay,
eshays,50
Gwats,
Gwat,88
gub,74
gubs,
buffies,
pussy,50
niggers,100
nigger,100
hoser,9
gorillla,
meatball patriots,72
meatball patriot,
feminazis,
feminazi,
6 gorillion,75
mocks,
injun,88
Anglo Fool,58
boujees,
boujee,
floppies,
floppy,
nigger-rig,98
half bred,
gookies,
gookie,
goloids,
goloid,
ginks,
gink,
gas huffers,
gas huffer,
featherheads,
featherhead,
border bandito,
boogats,
boogat,
dog eaters,
dog eater,
alboes,
albos,
albo,
jipsi,50
gypsi,
Chad Thundercocks,
Chads,
Chad Thundercock,
Chad,
bimbo,25
himbo,
machosexual,
gopniks,
skeets,
skeet,
dresiarz,
dres,
gopnik,
Freḥa,
arsit,
arsim,
ars,50
Sloane Rangers,
Sloane Ranger,
Hoorah Henriettas,
Hoorah Henrietta,
Hooray Henriettas,
Hooray Henrietta,
Hoorah Henries,
Hoorah Henry,
Hooray Henries,25
Hooray Henry,25
toffs,
toff,
gey,75
yellow cabs,
yellow cab,
lipstick lesbian,
zhidovka,
zhydovka,
zhid,
zhyd,
virago,
cock tease,
Beckies,
Beckys,
Becky,
bull dykes,
bull dyke,
lavender mafia,
velvet mafia,25
gay mafia,
Homintern,
batimen,
batiman,
battymen,
battyman,
chi chi bwoys,
chi chi bwoy,
chi chi men,
chi chi man,
batty men,
batty man,
batty bwoys,
batty bwoy,
batty boys,
batty boy,
papishers,
papisher,
gingettes,
gingette,
good goys,
gheys,75
fruities,
flipettes,
flipette,
fagdicks,
fagdick,
fagshits,
fagshit,100
dinkladies,
dinklady,
durka durkas,
durka durka,
derka derkas,
degettes,
degette,
dagettes,
dagette,
closet dykes,
closet dyke,50
black dagoes,
border baby,
border babies,
chavettes,
chavette,
carrot snaps,
carrot snap,
buckrettes,
buckrette,
gingies,
gingie,
gingy,25
gasher,
fruity,50
cunter,75
chimp packs,
Charly,
Charlies,
buffy,
buckers,
bucker,
ban and can,
cans and bans,
can and ban,
Annies,25
cohees,
cohee,
yellowhammer,
Okies,
Okie,
Massholes,
Masshole,
Madrasi,75
JAFAs,
JAFA,
jackeens,
jackeen,
culchies,
culchie,
croweaters,
croweater,
Biharis,50
Bihari,50
hatzis,
hatzi,
hajjis,
hajis,
hadjis,
hajji,76
haji,76
hadji,75
mussies,
mussie,
Fenians,
Fenian,
da goyim know,
the goyim know,
good goy,
jigros,86
pickinninys,
piccaninnys,
piccaninnies,
picaninnys,100
pickaninnies,100
pickinninies,
pickinniny,
piccaninny,
picaninnies,
picaninny,
Zio,82
tynker,86
tree jumper,52
tinkar,56
tinkere,86
tincker,93
spink,91
spik,99
spig,92
spick,87
spaz,52
smoke jumper,81
slopey,91
slags,68
shit kicker,81
shit heel,72
shant,72
seppo,74
sawney,43
rubes,25
poppadom,95
nitchy,76
nichiwa,90
negro,94
neejee,96
nitchie,76
neechee,89
mong,93
sheeny,84
niggerdick,
niggerdicks,
niggerton,
niggertown,100
niggerville,97
retarded,64
shekelnose,100
lefty,72
kikesberg,99
jigroes,93
jigro,93
hoodrats,82
hoodrat,82
golliwog,99
pisslam,100
Ahab,72
dinks,
dink,98
bans and cans,51
muslimic,
gender nigger,99
dot head,76
dogan,95
cripples,75
chinks,100
boojie,65
black dago,76
bitches,25
bitch,26
jit,50
toad,73
khazar,87
Zionazi,86
kike,98
sand niglet,99
sand niglets,
Zionazis,
zipperheads,
zippoheads,
zips,
ZOG lovers,
zebras,50
zigabos,50
ziojews,
yellow invaders,
yellows,88
yids,
yobbos,
yobs,
Yanks,
yard apes,
yardies,
yellow bones,
wogs,
wops,63
wopspeak,96
Yankees,
wiggas,
wiggerettes,
wiggers,
winks,
whiggers,
white niggers,
whities,75
WICs,
wegroes,
wetbacks,
wexicans,
whiggas,63
WASPs,25
uncircumcised baboons,
Uncle Toms,100
Velcro heads,
wagon burners,
tynkers,
Ubangees,
Ubangis,
tyncars,
tynekeres,
tynkards,
tynkares,
tynkeres,
tree niggers,100
tunnel diggers,
twats,25
Twinkies,
towel heads,
trannies,75
tree jumpers,42
tinkars,25
tinkeres,
tinkers,75
Tommies,
tigers,
timber niggers,
tinckers,100
tinkards,
teapots,
tenkers,
tard,70
tarded,99
tards,50
teabaggers,
suntans,
taco niggers,
Taffys,
tans,75
tar babies,
squinties,
steeks,
stovepipes,
stump jumpers,
spivs,13
spooks,
squareheads,
squaws,100
spiggotties,
spigs,
spikes,
spiks,
spicspeak,100
spides,
spiggers,
spickish,91
spiclet,75
spics,75
spicish,99
spickaboos,
spades,
spear chuckers,
spergs,1
spice niggers,100
snowflakes,
soles,
sooties,
soup takers,
Southern fairies,
smoke jumpers,
smoked Irishmen,
snouts,
slopes,75
slopies,
smicks,
slants,
slaves,100
slits,
slopeheads,
Skippies,
Skips,
slant eyes,100
sideways vaginas,100
skags,50
skangers,
skinnie,88
skinnies,
shit kickers,
sideways cooters,
sideways pussies,88
shiners,
shines,
shit heels,
Sheltas,
shemales,
sheboons,
sheenies,
sheepfuckers,
sengas,
seppos,
septics,
shades,
shants,49
scobes,
scuffers,
semiholes,
sawnies,
scags,
scallies,
scangers,
sand nips,
sand niggerette,100
sand niggerettes,
sand niggers,
Russellites,
sambos,
sand monkey,84
sand monkeys,
rice niggers,
ricepickers,
roofuckers,100
roundeyes,
Rhine monkeys,48
Rhineland bastard,89
Rhineland bastards,100
red niggers,100
rednecks,50
redskins,100
retardeds,
retards,51
race traitors,75
ragheads,
red bones,63
quadroons,75
quashies,
queens,65
queers,
proddy dogs,
proddywhoddies,
proddywoddies,75
prods,
pussies,50
prairie niggers,100
poms,
popolos,
poppadoms,
porch monkeys,100
powderburns,
polacks,
pollos,
pommie grants,
pommies,
pohms,
pointy heads,
pineapple niggers,100
ping pangs,
pintos,
plastic paddies,
pogues,25
Pepsis,
pickaninnys,
pikers,
pikeys,
papists,89
papooses,50
pavement apes,
peckerwoods,
Peppers,
pancake faces,
pancakes,
pakis,88
palefaces,58
Orientals,
oven dodgers,
paddies,
Pakiland,93
Orangies,
Oreos,
ockers,
octaroons,
octroons,
ofays,
nips,
nitchees,
nitchies,
Northern monkeys,
nigras,
nigres,
nigs,
niglette,87
nigors,
nigguhs,100
niggurs,
niglets,100
niggerization,98
nigglets,
niggors,
niggars,
niggerettes,
nigars,
nigers,
nigettes,
niccas,75
nichis,
nichiwas,
nidges,
nig nogs,
net heads,75
neds,
neechees,
neejees,
nafris,
neches,
mutts,
muzzies,
muzzpigs,48
muzzrats,
nachos,
mullatoes,
mungs,
munters,
munts,
muks,
muktuks,
mulatto,89
mulignans,50
mud persons,
mud sharks,
moulinyans,
moxies,
MTNs,
moss eaters,
mossheads,
moulies,
moulignons,
moolinyan,96
moon crickets,100
Moors,
mokies,100
mongols,
mongs,
monkeys,100
mokes,
mochs,75
mockeys,
mockies,50
Mickey Finns,
mickeys,24
micks,25
mil bags,
millies,
Merkins,
lubras,
lugans,
mackerel snappers,50
macks,
leprechauns,
ling lings,
lowlanders,
Lebbos,
Lebs,
lefties,
lemonheads,
Kushis,
Kushites,
kykes,
latrinos,
kunt,77
kikes,
knackers,
kneegroes,
kotiyas,
khazars,
jijjiboos,75
Jits,50
jockies,
jocks,
jungle bunnys,
jigs,
Jihadis,72
jiggaboos,100
jiggabos,
jigaboos,100
jigaroonis,
jewbagg,98
jhants,
Japs,25
Jerries,
jew-fucked,99
jants,
japies,
Japland,86
island niggers,
ikeys,
injuns,
ice monkeys,
ice niggers,
idiots,17
ikes,
ikey mos,
Huns,
Hunyaks,
Hunyocks,
hymies,50
hos,
house niggers,
Hunkies,
Honyaks,
Honyocks,
hoosiers,100
hories,
hoes,68
honkeye,72
honkies,
honklets,
hicks,
higgers,50
hayseeds,
hebros,100
heebs,75
heinies,75
hairybacks,
halfricans,100
gypos,
gyppies,
gyppos,
guineas,
gurriers,
gualas,100
gubbas,
guidettes,
guidos,
gooks,100
greaseballs,
greasers,
groids,
guala gualas,
globalists,
golliwogs,
goobers,
gook eyes,
gins,
ginzos,
gippos,
gipps,
ghosts,
gimps,
gimpy,80
gin jockeys,
gingers,44
gender benders,25
Gerudos,
gews,
ghetto hamsters,
ghey,79
fuzzy wuzzies,
gables,
gashes,
gaylord,73
gaylords,
fuzzies,
frogs,
fruits,50
fudgepackers,50
FOBs,
fog niggers,
four by twos,
fezzes,
flipabeanos,50
flips,
fags,
