County,Registered (% of Eligible),Democratic (% of Eligible),Republican (% of Eligible),American Independent (% of Eligible),Green (% of Eligible),Libertarian (% of Eligible),"Peace and
Freedom (% of Eligible)",Other (% of Eligible),"Decline to
State (% of Eligible)",Ratio Dem/Rep
Alameda,0.760839115,0.568136208,0.157077107,0.018556311,0.012799572,0.004065885,0.003428713,0.015250331,0.220685873,3.616925596
Alpine,0.820828667,0.381991814,0.334242838,0.038199181,0.016371078,0.004092769,0.001364256,0.002728513,0.22100955,1.142857143
Amador,0.818349046,0.331413318,0.456588929,0.034372951,0.005853704,0.006743467,0.001545378,0.002809778,0.160672474,0.725846154
Butte,0.722011504,0.347062737,0.392285959,0.031718465,0.012614808,0.007352878,0.003620277,0.010955874,0.194389003,0.884718735
Calaveras,0.823944268,0.323173278,0.428810021,0.04039666,0.010055672,0.011551844,0.002679193,0.005775922,0.177557411,0.753651412
Colusa,0.651619316,0.351213932,0.461548239,0.018558536,0.001525359,0.003050718,0.002415152,0.000254227,0.161433838,0.760947397
Contra Costa,0.749664717,0.497994661,0.262653491,0.023393434,0.006505877,0.004443404,0.002214209,0.005786541,0.197008383,1.896013865
Del Norte,0.686437872,0.366530022,0.375532513,0.04091311,0.008359457,0.005546178,0.004179728,0.011333494,0.187605498,0.976027397
El Dorado,0.835087203,0.301867037,0.449154505,0.033662265,0.008450313,0.007671994,0.002529534,0.007505212,0.189159138,0.672078391
Fresno,0.713637167,0.409942488,0.409587509,0.023101754,0.004098863,0.003935419,0.002334181,0.033498309,0.113501476,1.000866675
Glenn,0.694490062,0.31245923,0.458088715,0.036121983,0.003750815,0.004729289,0.003343118,0.002201566,0.179305284,0.682093272
Humboldt,0.778141387,0.425863289,0.268304289,0.030583242,0.038685615,0.008513922,0.003845412,0.002379268,0.221824963,1.587239958
Imperial,0.585333901,0.516840439,0.266644831,0.021580508,0.002219917,0.003202504,0.004021326,0.004403443,0.181087032,1.938310359
Inyo,0.722482526,0.322772698,0.443015097,0.036785031,0.0091431,0.006591537,0.002445248,0.003721029,0.17552626,0.728581713
Kern,0.642958992,0.353123546,0.440890929,0.030579136,0.002519377,0.005067638,0.002644543,0.001325481,0.163849351,0.800931756
Kings,0.606317973,0.361531884,0.453579282,0.025796075,0.002321036,0.003685154,0.001445557,0.006270869,0.145370144,0.797064368
Lake,0.698474347,0.429572056,0.293385764,0.039292188,0.012073362,0.006973672,0.003963012,0.001781819,0.212958127,1.464188482
Lassen,0.791745152,0.268490658,0.478203065,0.049401721,0.00391855,0.006437618,0.002169197,0.002309146,0.189070044,0.561457419
Los Angeles,0.764071847,0.513997233,0.235847409,0.020584953,0.005186075,0.004597683,0.005146519,0.008732609,0.205907518,2.179363493
Madera,0.646678542,0.352755532,0.450754328,0.02530237,0.004068081,0.004560629,0.002207344,0.004323476,0.156028239,0.78258934
Marin,0.827765878,0.546129737,0.19316416,0.018745556,0.014459164,0.005247702,0.001560484,0.002436198,0.218256999,2.827282953
Mariposa,0.807372683,0.310724026,0.449195038,0.042403449,0.010556875,0.00800563,0.002463271,0.00976511,0.166886602,0.691735213
Mendocino,0.781223886,0.47202452,0.224832353,0.032295224,0.039453655,0.008084091,0.005615666,0.004114041,0.21358045,2.099451052
Merced,0.678114321,0.462668503,0.347439589,0.026574433,0.007021827,0.003599599,0.002597972,0.001387672,0.148710404,1.331651652
Modoc,0.782241922,0.267592762,0.492414549,0.045147139,0.003472857,0.008225187,0.00091391,0.001279474,0.180954122,0.543429844
Mono,0.660849453,0.323735285,0.369074133,0.038180083,0.010181355,0.006204263,0.004136176,0.000795418,0.247693287,0.877155172
Monterey,0.672403591,0.534517947,0.25516006,0.021027206,0.006634586,0.004031931,0.002028448,0.001716379,0.174883442,2.094833912
