Tract,gisjoin,Voted,Registered,VAP
6001400100,G0600010400100,1702,2293,2510
6001400200,G0600010400200,1154,1520,1639
6001400300,G0600010400300,2701,3592,4105
6001400400,G0600010400400,2038,2808,3131
6001400500,G0600010400500,1745,2692,3067
6001400600,G0600010400600,738,1245,1347
6001400700,G0600010400700,1703,2967,3577
6001400800,G0600010400800,1289,2294,3022
6001400900,G0600010400900,814,1446,1880
6001401000,G0600010401000,1714,3399,4519
6001401100,G0600010401100,1724,2792,3666
6001401200,G0600010401200,1313,1922,2086
6001401300,G0600010401300,829,1565,3148
6001401400,G0600010401400,817,2002,3420
6001401500,G0600010401500,633,1295,2168
6001401600,G0600010401600,432,975,1635
6001401700,G0600010401700,718,1381,2131
6001401800,G0600010401800,375,890,1247
6001402200,G0600010402200,586,1236,1845
6001402400,G0600010402400,601,1364,1869
6001402500,G0600010402500,326,811,1214
6001402600,G0600010402600,325,553,1023
6001402700,G0600010402700,385,851,1171
6001402800,G0600010402800,735,1489,2975
6001402900,G0600010402900,364,731,1351
6001403000,G0600010403000,682,1309,2584
6001403100,G0600010403100,340,612,2116
6001403300,G0600010403300,1048,1772,3603
6001403400,G0600010403400,1526,2385,3848
6001403501,G0600010403501,1621,2662,3921
6001403502,G0600010403502,854,1308,1804
6001403600,G0600010403600,1671,2694,3979
6001403701,G0600010403701,1238,1795,2404
6001403702,G0600010403702,864,1236,1592
6001403800,G0600010403800,1917,2605,3038
6001403900,G0600010403900,1806,2555,3243
6001404000,G0600010404000,1387,2044,2566
6001404101,G0600010404101,1608,2262,2604
6001404102,G0600010404102,1172,1593,2182
6001404200,G0600010404200,1912,2432,2697
6001404300,G0600010404300,1962,2505,2554
6001404400,G0600010404400,2828,3761,4240
6001404501,G0600010404501,1040,1292,1312
6001404502,G0600010404502,3500,4427,4564
6001404600,G0600010404600,2749,3448,3502
6001404700,G0600010404700,1192,1517,1554
6001404800,G0600010404800,1159,1711,2159
6001404900,G0600010404900,2086,2883,3364
6001405000,G0600010405000,1750,2298,2510
6001405100,G0600010405100,2588,3242,3172
6001405200,G0600010405200,2064,3132,4051
6001405301,G0600010405301,1133,1772,2340
6001405302,G0600010405302,727,1222,2256
6001405401,G0600010405401,612,1350,3185
6001405402,G0600010405402,455,1007,2459
6001405500,G0600010405500,894,1684,3022
6001405600,G0600010405600,923,1613,2541
6001405700,G0600010405700,753,1476,2572
6001405800,G0600010405800,624,1438,2941
6001405901,G0600010405901,466,1110,2792
6001405902,G0600010405902,457,1060,2305
6001406000,G0600010406000,742,1460,2908
6001406100,G0600010406100,861,1629,3284
6001406201,G0600010406201,475,1179,3360
6001406202,G0600010406202,395,924,3371
6001406300,G0600010406300,689,1430,3059
6001406400,G0600010406400,619,1062,1768
6001406500,G0600010406500,969,2019,4379
6001406601,G0600010406601,1217,2182,3496
6001406602,G0600010406602,521,1093,1894
6001406700,G0600010406700,2579,3505,4095
6001406800,G0600010406800,1511,2269,2717
6001406900,G0600010406900,1463,2231,2903
6001407000,G0600010407000,1246,2504,4493
6001407101,G0600010407101,559,1181,2403
6001407102,G0600010407102,895,1726,3172
6001407200,G0600010407200,685,1594,4922
6001407300,G0600010407300,392,895,1939
6001407400,G0600010407400,508,1089,2833
6001407500,G0600010407500,496,1223,2717
6001407600,G0600010407600,1469,2800,4457
6001407700,G0600010407700,1945,2917,3316
6001407800,G0600010407800,885,1335,2072
6001407900,G0600010407900,1288,1825,2182
6001408000,G0600010408000,1280,1802,2234
6001408100,G0600010408100,3047,4246,4934
6001408200,G0600010408200,1258,2224,3086
6001408300,G0600010408300,1651,2650,3309
6001408400,G0600010408400,608,1451,2364
6001408500,G0600010408500,929,2009,3457
6001408600,G0600010408600,1014,2211,3897
6001408700,G0600010408700,1417,2976,5132
6001408800,G0600010408800,722,1838,3687
6001408900,G0600010408900,374,1018,2374
6001409000,G0600010409000,701,1531,2485
6001409100,G0600010409100,351,810,1575
6001409200,G0600010409200,545,1237,2114
